ShipmentID,OrderDate,ProductName,ProductClass,ManufacturingSite,DistributorName,Country,QuantityShipped,ShipmentMode,ScheduledDeliveryDate,ActualDeliveryDate,FreightCostUSD,WeightKg,ShipmentStatus
SHP000013,2017-10-27,Atrabicin Alkerotec,Antiseptics,KRAKOW FACILITY,Gottlieb-Cruickshank,Poland,86,Air Charter,2017-11-03,2017-11-01,2765.99,772.7,delivered
SHP000014,2019-12-06, Abranatal Lysoprosate  ,Antiseptics,Munich Plant,Koss,Germany,172,Ocean,2019-12-13,2019-12-12,1660.69,507.8,delivered
SHP000015,2020-06-03, Sodinel Olofribrate  ,Antimalarial,Warsaw Plant, Rohan and Sons  ,Germany,226,Air Charter,2020-06-10,2020-06-09,3952.49,126.4,CANCELLED
SHP000016,2019-01-25,Testant,Mood Stabilizers,WARSAW PLANT,Gottlieb-Cruickshank,Poland,91,Air,2019-02-01,2019-01-30,4229.74,73.4,In Transit
SHP000017,2019-07-07,Spiroderall,Mood Stabilizers,Munich Plant,Bashirian-Kassulke,Germany,40,,2019-07-14,2019-07-14,1327.85,577.1,delivered
SHP000018,2020-02-05,Lioletine Refliruvax,Analgesics,munich plant,Nader-Gaylord,Germany,45,Ocean,2020-02-12,2020-02-10,171.37,549.1,Delivered
SHP000019,2020-03-28,Alemtuvatol Megalinum,Analgesics,KRAKOW FACILITY,Lockman,Germany,30,Truck,2020-04-04,2020-04-03,3222.48,888.8,DELIVERED
SHP000020,2018-02-08,Arivac,Antimalarial,Frankfurt Plant,Romaguera-Fay,Germany,52,Ocean,2018-02-15,2018-02-14,4506.17,525.2,SHIPPED
SHP000021,2020-02-05, Apronazol  ,Antibiotics, KRAKOW FACILITY  , Lockman  ,Germany,-77,Truck,2020-02-12,2020-02-11,611.92,478.8,Delivered
SHP000022,2018-09-09,Theopril,Antipiretics,krakow facility,Erdman,Germany,43,Truck,2018-09-16,2018-09-15,562.78,654.6,DELIVERED
SHP000023,2019-04-26,Claripenem,Antibiotics,WARSAW PLANT,Kozey-Emmerich,Germany,458,Ocean,2019-05-03,2019-05-01,3120.4,78.1,shipped
SHP000024,2020-05-14,Alarudin Azarolac,Mood Stabilizers,WARSAW PLANT,Graham and Sons,Poland,79,Air Charter,2020-05-21,2020-05-20,2924.74,390.4,DELIVERED
SHP000025,2020-01-24, Enzastryl  ,Antiseptics,krakow facility,Koss,Germany,52,Truck,2020-01-31,2020-01-31,2291.44,574.5,in transit
SHP000026,2018-01-06,Amcibax Amcikeran,Analgesics, Frankfurt Plant  ,Rogahn-Klein,Poland,459,Air Charter,2018-01-13,2018-01-11,4352.89,372.5,CANCELLED
SHP000027,2018-04-13,Effigine Propraprex,Antimalarial,frankfurt plant, Romaguera-Fay  ,Germany,74,Air Charter,2018-04-20,2018-04-19,2820.89,136.1,Delivered
SHP000028,2017-04-28,Megenorphine,Antimalarial,FRANKFURT PLANT,Rohan and Sons,Germany,64,Ocean,2017-05-05,2017-05-04,1359.95,70.0,Cancelled
SHP000029,2018-01-23,Xenaderal,Mood Stabilizers, MUNICH PLANT  , Koss  ,Germany,222,Air,2018-01-30,2018-01-30,2980.94,625.2,Delivered
SHP000030,2020-06-26,Ganineva Agenium,Antiseptics,FRANKFURT PLANT,Hansen Group Pharm,Germany,703,,2020-07-03,2020-07-02,1125.86,892.1,DELIVERED
SHP000031,2020-02-21, Androporin  ,Antiseptics,Munich Plant,Prohaska-Kuhic,Poland,275,,2020-02-28,2020-02-28,1874.67,462.3,Delivered
SHP000032,2019-09-04,Afaxacin,Analgesics,Krakow Facility, Smith Inc  ,Poland,81,Air,2019-09-11,2019-09-09,668.9,319.0,Shipped
SHP000033,2020-07-02,Trazobalamin,Mood Stabilizers, Poznan Site  ,Kozey-Emmerich,Germany,447,Air,2020-07-09,2020-07-07,1684.31,301.6,Shipped
SHP000034,2020-03-27,Methiclotide,Antibiotics,Munich Plant,Erdman,Germany,59,Truck,2020-04-03,2020-04-01,215.2,287.4,IN TRANSIT
SHP000035,2018-02-21,Rebedase Aplencor,Mood Stabilizers,Munich Plant, Kris LLC  ,Poland,130,Truck,2018-02-28,2018-02-26,4033.38,850.4,delivered
SHP000036,2017-08-05,Argalazine Abostryl,Antipiretics, poznan site  ,Hansen Group Pharm,Germany,28,Ocean,2017-08-12,2017-08-12,102.49,414.4,Delivered
SHP000037,2020-03-30,Relenvice,Antimalarial, munich plant  ,Gottlieb-Cruickshank,Poland,159,Air,2020-04-06,2020-04-06,3656.13,515.3,Delivered
SHP000038,2017-02-11,Zonitonin,Antiseptics,Warsaw Plant, Gleason  ,Germany,64,Air,2017-02-18,2017-02-17,3712.21,,Delivered
SHP000039,2018-03-13,Aggrakine,Antiseptics,poznan site,Crist Inc,Germany,55,Air,2018-03-20,2018-03-19,4701.41,254.4,Cancelled
SHP000040,2018-03-21,Topifribrate,Analgesics,Munich Plant,Schuppe Inc,Poland,25,Truck,2018-03-28,2018-03-27,1712.79,616.7,DELIVERED
SHP000041,2017-12-31,Halcifergen Nevazone,Antimalarial, WARSAW PLANT  ,Gleason,Germany,75,Air,2018-01-07,2018-01-05,1015.71,804.2,delivered
SHP000042,2017-10-17,Allomenda,Antipiretics,Poznan Site, Rohan  ,Poland,76,Ocean,2017-10-24,2017-10-24,4233.62,152.7,delivered
SHP000043,2020-03-03,Spiroderall,Mood Stabilizers, Munich Plant  ,Schuppe Inc,Poland,125,,2020-03-10,2020-03-09,1183.39,804.5,DELIVERED
SHP000044,2019-04-01, Spiroderall  ,Mood Stabilizers,Munich Plant, Kris LLC  ,Poland,186,,2019-04-08,2019-04-08,1207.82,641.2,Shipped
SHP000045,2020-05-09,Alpradipine,Analgesics,Munich Plant,Beier,Poland,199,Air Charter,2020-05-16,2020-05-15,3361.34,656.7,shipped
SHP000046,2018-07-30,Clinolan Pitoletra,Mood Stabilizers,Munich Plant,Carter-Conn,Poland,124,Air Charter,2018-08-06,2018-08-11,3977.91,207.6,Delivered
SHP000047,2019-05-11,Sevotrana Tiafoxin,Analgesics,krakow facility,Lesch,Germany,261,Ocean,2019-05-18,2019-05-17,3320.13,613.4,delivered
SHP000048,2018-07-03,Rebedase Aplencor,Mood Stabilizers, Munich Plant  ,Romaguera-Fay,Germany,61,Air,2018-07-10,2018-07-10,1791.67,218.6,Cancelled
SHP000049,2018-10-06,Penitrana,Analgesics, FRANKFURT PLANT  ,Gottlieb-Cruickshank,Poland,1182,Ocean,2018-10-13,2018-10-13,3740.57,727.2,delivered
SHP000050,2020-01-19,Insozyme,Antiseptics,poznan site,Kris LLC,Poland,87,Air,2020-01-26,2020-01-25,4206.07,251.7,Delivered
SHP000051,2019-06-18,Choriotrisin,Antibiotics,Warsaw Plant,Welch-Langworth,Germany,72,Air,2019-06-25,2019-06-24,4828.28,43.4,DELIVERED
SHP000052,2017-11-21,Lioletine Refliruvax,Analgesics,Munich Plant,Welch-Langworth,Germany,174,Air,2017-11-28,2017-11-27,2586.17,666.5,pending
SHP000053,2019-09-17,Immurenol Temarate,Antipiretics, FRANKFURT PLANT  ,Lesch,Germany,520,Air,2019-09-24,2019-09-24,3470.25,380.5,in transit
SHP000054,2020-04-03,Apromin,Antiseptics, POZNAN SITE  , Carter-Conn  ,Poland,47,Truck,2020-04-10,2020-04-09,3582.11,853.7,PENDING
SHP000055,2018-12-19,Decidenu Galantrigine,Antipiretics,MUNICH PLANT, Gerlach LLC  ,Germany,318,Ocean,2018-12-26,2018-12-24,3298.32,105.2,Delivered
SHP000056,2020-11-22,Arivac,Antimalarial,frankfurt plant,Crist Inc,Germany,347,Air,2020-11-29,2020-12-03,817.27,734.5,Delivered
SHP000057,2020-05-02,Belavarix Benzabicin,Antibiotics, Frankfurt Plant  ,Koss,Germany,19,Air,2020-05-09,2020-05-07,609.16,28.4,DELIVERED
SHP000058,2017-12-09,Interfedox Pilobamol,Antiseptics,frankfurt plant,Gleason,Germany,69,Truck,2017-12-16,2017-12-14,2333.85,286.6,delivered
SHP000059,2020-01-06, Thalilamide  ,Antibiotics,Warsaw Plant, Gerlach LLC  ,Germany,65,Truck,2020-01-13,2020-01-13,4951.93,328.1,DELIVERED
SHP000060,2019-08-25, Halcifergen Nevazone  ,Antimalarial,warsaw plant,Gleason,Germany,132,Air,2019-09-01,2019-09-01,2525.47,725.4,delivered
SHP000061,2019-09-15, Primapion  ,Antibiotics, poznan site  ,Cassin,Poland,62,Ocean,2019-09-22,2019-09-20,2814.32,451.7,delivered
SHP000062,2017-12-15,Factofribrate,Mood Stabilizers,frankfurt plant,Bashirian-Kassulke,Germany,219,Air,2017-12-22,2017-12-22,3648.98,411.0,delivered
SHP000063,2017-04-18,Feruprazole,Mood Stabilizers,POZNAN SITE, Crist Inc  ,Germany,154,Air,2017-04-25,2017-04-24,3010.31,275.7,shipped
SHP000064,2017-10-07, Lioletine Refliruvax  ,Analgesics,MUNICH PLANT,Lesch,Germany,20,Air,2017-10-14,2017-10-21,2542.08,402.0,IN TRANSIT
SHP000065,2020-09-09,Tetratanyl,Antimalarial,Poznan Site, Gleason  ,Germany,196,Air,2020-09-16,2020-09-14,2605.94,572.4,DELIVERED
SHP000066,2019-02-27, Exexone  ,Mood Stabilizers,Munich Plant, Rogahn-Klein  ,Poland,288,Truck,2019-03-06,2019-03-05,2937.39,222.4,shipped
SHP000067,2019-03-10, Acycpex  ,Mood Stabilizers,Warsaw Plant, Graham and Sons  ,Poland,144,Ocean,2019-03-17,2019-03-15,4284.96,336.7,Delivered
SHP000068,2020-12-06,Megenorphine,Antimalarial,Frankfurt Plant,Graham and Sons,Poland,58,Air,2020-12-13,2020-12-11,N/A,854.7,DELIVERED
SHP000069,2019-01-06,Nisorase,Antibiotics,Munich Plant,Kris LLC,Poland,14,Air Charter,2019-01-13,2019-01-13,2788.32,796.8,Cancelled
SHP000070,2019-06-23, Apronazol  ,Antibiotics, krakow facility  ,Koss,Germany,45,,2019-06-30,2019-06-30,3943.29,260.5,In Transit
SHP000071,2017-12-10, Halcifergen Nevazone  ,Antimalarial,WARSAW PLANT,Beier,Poland,46,Truck,2017-12-17,2017-12-16,170.16,376.9,delivered
SHP000072,2017-01-18,Aprerase,Antipiretics,FRANKFURT PLANT, Crist Inc  ,Germany,111,Air Charter,2017-01-25,2017-01-23,1239.79,334.4,delivered
SHP000073,2019-02-21,Nevanide Actozide,Antibiotics,krakow facility, Prohaska-Kuhic  ,Poland,144,Truck,2019-02-28,2019-02-28,3813.44,274.2,In Transit
SHP000074,2018-10-29,Agalsiline,Mood Stabilizers,Warsaw Plant,Beier,Poland,30,Truck,2018-11-05,2018-11-05,3612.81,484.8,Delivered
SHP000075,2018-01-30,Ultrimax Ultriset,Antiseptics,Krakow Facility,Rohan,Poland,884,Air,2018-02-06,2018-02-05,3419.52,860.9,Pending
SHP000076,2017-03-13,Fentatrol Rapatelase,Antibiotics, Frankfurt Plant  , Lindgren-Simonis Pharm  ,Poland,148,Truck,2017-03-20,2017-03-18,4519.8,885.2,Delivered
SHP000077,2017-11-14, Betanem  ,Analgesics,poznan site, Schuppe Inc  ,Poland,228,Truck,2017-11-21,2017-11-20,1236.08,806.6,Delivered
SHP000078,2017-12-29,Albudazole Erobloc,Antiseptics,frankfurt plant,Schaefer LLC,Germany,221,Ocean,2018-01-05,2018-01-03,2093.5,509.7,delivered
SHP000079,2018-10-13,Temasone Thiobucil,Antimalarial, Frankfurt Plant  ,Rogahn-Klein,Poland,66,Truck,2018-10-20,2018-10-19,4085.85,749.5,DELIVERED
SHP000080,2019-12-19,Saprodeine Zanprosyn,Antibiotics,Poznan Site, Lindgren-Simonis Pharm  ,Poland,58,Air Charter,2019-12-26,2019-12-26,3880.88,650.4,PENDING
SHP000081,2017-02-16,Propratecan,Antimalarial,Krakow Facility,Smith Inc,Poland,270,Air,2017-02-23,2017-02-23,4068.56,105.4,DELIVERED
SHP000082,2019-07-31,Betanem,Analgesics,POZNAN SITE, Lesch  ,Germany,152,,2019-08-07,2019-08-06,97.84,795.8,Pending
SHP000083,2018-01-08,Apronazol,Antibiotics,Krakow Facility,Lindgren-Simonis Pharm,Poland,23,,2018-01-15,2018-01-15,N/A,447.2,delivered
SHP000084,2019-09-06,Amavirase,Antipiretics,MUNICH PLANT, Gerlach LLC  ,Germany,135,Ocean,2019-09-13,2019-09-12,3952.14,746.1,Delivered
SHP000085,2018-09-25, Symbiroban  ,Antibiotics, POZNAN SITE  , Rohan  ,Poland,30,Air Charter,2018-10-02,2018-09-30,4602.38,133.0,DELIVERED
SHP000086,2017-01-04,Abilovir Aprotasol,Antipiretics,POZNAN SITE,Cassin,Poland,49,Truck,2017-01-11,2017-01-09,1631.43,767.5,DELIVERED
SHP000087,2017-12-17,Relenvice,Antimalarial,MUNICH PLANT,Welch-Langworth,Germany,184,Ocean,2017-12-24,2017-12-22,4376.82,216.6,Delivered
SHP000088,2019-01-17,Magneprex,Antimalarial,KRAKOW FACILITY, Welch-Langworth  ,Germany,102,,2019-01-24,2019-01-22,3311.76,296.7,DELIVERED
SHP000089,2018-04-11,Imiderm Vibranovate,Antipiretics, FRANKFURT PLANT  ,Welch-Langworth,Germany,37,Air Charter,2018-04-18,2018-04-17,1554.8,327.4,Shipped
SHP000090,2018-07-17,Adalatamine,Antiseptics, POZNAN SITE  ,Schaefer LLC,Germany,89,Air,2018-07-24,2018-07-23,2957.45,422.1,delivered
SHP000091,2019-03-01,Propralamide Dexlanzolam,Mood Stabilizers,Krakow Facility, Graham and Sons  ,Poland,90,Air,2019-03-08,2019-03-07,4182.05,776.3,shipped
SHP000092,2018-09-27,Amphesirox,Antiseptics, WARSAW PLANT  ,Prohaska-Kuhic,Poland,223,Air,2018-10-04,2018-10-04,3330.18,662.8,shipped
SHP000093,2018-10-04, Interfestar  ,Antibiotics,MUNICH PLANT,Graham and Sons,Poland,1292,Air,2018-10-11,2018-10-10,1010.06,840.7,delivered
SHP000094,2018-05-01,Ceretosine,Antiseptics,POZNAN SITE, Hansen Group Pharm  ,Germany,134,,2018-05-08,2018-05-06,1653.75,90.9,delivered
SHP000095,2019-06-28,Ceretosine,Antiseptics,Poznan Site, Erdman  ,Germany,325,Air,2019-07-05,2019-07-04,4871.25,465.5,Delivered
SHP000096,2019-12-16, Apronazol  ,Antibiotics,krakow facility, Gleason  ,Germany,158,Air,2019-12-23,2019-12-21,1140.66,30.1,DELIVERED
SHP000097,2018-02-03, Doxivorin  ,Antimalarial, Poznan Site  ,Welch-Langworth,Germany,176,Air Charter,2018-02-10,2018-02-18,4108.44,400.8,Delivered
SHP000098,2019-12-24,Kinerinex,Antiseptics,Poznan Site,Beier,Poland,178,Truck,2019-12-31,2019-12-29,1262.73,18.4,pending
SHP000099,2019-01-16, Tetalamide  ,Antibiotics,FRANKFURT PLANT,Stehr-Champlin,Poland,62,Air,2019-01-23,2019-01-22,3296.06,384.1,Delivered
SHP000100,2019-12-28,Exotropin Empizine,Mood Stabilizers,Poznan Site,Rohan and Sons,Germany,14,Ocean,2020-01-04,2020-01-02,1911.69,486.4,SHIPPED
SHP000101,2019-11-02,Enzastryl,Antiseptics, Krakow Facility  ,Romaguera-Fay,Germany,40,Ocean,2019-11-09,2019-11-07,4743.26,329.3,delivered
SHP000102,2018-01-02,Interfestar,Antibiotics,MUNICH PLANT,Crist Inc,Germany,27,Truck,2018-01-09,2018-01-07,2012.9,27.3,shipped
SHP000103,2019-01-24,Abatatriptan,Antibiotics,MUNICH PLANT,Schuppe Inc,Poland,18,Ocean,2019-01-31,2019-02-03,3302.14,871.8,Delivered
SHP000104,2017-11-08,Arivac,Antimalarial,Frankfurt Plant,Kozey-Emmerich,Germany,323,Ocean,2017-11-15,2017-11-13,1477.58,591.3,delivered
SHP000105,2017-04-14,Robapril,Antipiretics, WARSAW PLANT  ,Welch-Langworth,Germany,82,,2017-04-21,2017-04-19,3832.08,145.6,Delivered
SHP000106,2019-12-08,Tetratanyl,Antimalarial,Poznan Site, Gleason  ,Germany,13,Ocean,2019-12-15,2019-12-14,4507.36,145.9,CANCELLED
SHP000107,2020-06-14,Asparathasone Unipan,Antibiotics,poznan site, Cassin  ,Poland,187,Air,2020-06-21,2020-06-21,2961.31,95.9,delivered
SHP000108,2019-10-16,Comzyme,Antibiotics, warsaw plant  ,Daugherty-Rempel,Germany,242,Air,2019-10-23,2019-10-21,4724.26,507.4,Delivered
SHP000109,2019-04-30,Ranediol,Antibiotics,Warsaw Plant,Gottlieb-Cruickshank,Poland,260,Air,2019-05-07,2019-05-05,2916.42,865.0,delivered
SHP000110,2020-01-10,Amphesirox,Antiseptics,Warsaw Plant,Cassin,Poland,36,Ocean,2020-01-17,2020-01-15,244.35,766.4,Delivered
SHP000111,2018-12-15, Clindaracil  ,Analgesics,POZNAN SITE,Kris LLC,Poland,308,Air Charter,2018-12-22,2018-12-22,313.69,,IN TRANSIT
SHP000112,2019-09-11, Proderal  ,Antiseptics,munich plant,Rohan and Sons,Germany,424,Truck,2019-09-18,2019-09-17,952.71,701.5,delivered
SHP000113,2019-10-26, Relenstrel Exurabine  ,Antibiotics,Warsaw Plant,Schaefer LLC,Germany,132,Air Charter,2019-11-02,2019-10-31,278.56,659.1,Delivered
SHP000114,2018-01-11, Hydroxyprosyn  ,Antibiotics,Poznan Site,Cassin,Poland,84,Truck,2018-01-18,2018-01-17,2974.42,391.7,delivered
SHP000115,2018-10-19,Afaxacin,Analgesics, KRAKOW FACILITY  , Gerlach LLC  ,Germany,75,Ocean,2018-10-26,2018-10-24,1074.93,500.0,Shipped
SHP000116,2017-05-06,Tetalamide,Antibiotics,FRANKFURT PLANT, Prohaska-Kuhic  ,Poland,142,Air Charter,2017-05-13,2017-05-12,4486.02,753.9,delivered
SHP000117,2020-08-08,Paronium Atracustone,Analgesics,munich plant,Beier,Poland,74,Ocean,2020-08-15,2020-08-14,4434.61,889.9,Delivered
SHP000118,2020-09-23,Darlofen,Antipiretics,Poznan Site,Kozey-Emmerich,Germany,63,Truck,2020-09-30,2020-09-30,416.62,768.6,delivered
SHP000119,2019-06-03, Claripenem  ,Antibiotics,warsaw plant,Gottlieb-Cruickshank,Poland,107,Ocean,2019-06-10,2019-06-10,1721.97,847.0,Delivered
SHP000120,2017-06-24,Biotasol Siloderm,Antiseptics, Frankfurt Plant  ,Rogahn-Klein,Poland,76,Ocean,2017-07-01,2017-07-01,3892.3,406.4,delivered
SHP000121,2017-02-25,Algluconium Dorzofoxin,Antibiotics,Munich Plant, Gleason  ,Germany,65,Air,2017-03-04,2017-03-03,3373.15,590.9,delivered
SHP000122,2018-10-13, Sumanazole  ,Analgesics, MUNICH PLANT  ,Koss,Germany,18,Air Charter,2018-10-20,2018-10-27,437.17,561.8,Delivered
SHP000123,2019-10-20, Ketamara Evogel  ,Antipiretics, Poznan Site  , Daugherty-Rempel  ,Germany,124,Ocean,2019-10-27,2019-10-26,3610.87,606.6,DELIVERED
SHP000124,2019-01-13,Adrecetam Barazoxane,Antimalarial,Poznan Site, Welch-Langworth  ,Germany,62,Truck,2019-01-20,2019-01-20,1224.33,246.2,Delivered
SHP000125,2017-09-24,Lioletine Refliruvax,Analgesics,Munich Plant, Stehr-Champlin  ,Poland,67,Air,2017-10-01,2017-10-01,2272.38,271.8,Delivered
SHP000126,2017-09-23,Ribabyclor,Antiseptics,WARSAW PLANT,Rohan,Poland,208,Truck,2017-09-30,2017-09-29,4640.71,140.5,SHIPPED
SHP000127,2018-12-23,Pitodomide,Antimalarial,MUNICH PLANT,Kozey-Emmerich,Germany,20,Air Charter,2018-12-30,2019-01-05,3448.16,736.0,Pending
SHP000128,2020-09-05, Microroban Afatigomar  ,Antimalarial,MUNICH PLANT,Erdman,Germany,97,Air Charter,2020-09-12,2020-09-12,598.71,271.3,Delivered
SHP000129,2017-11-28,Feruprazole,Mood Stabilizers,Poznan Site, Carter-Conn  ,Poland,510,Air,2017-12-05,2017-12-05,3360.75,310.6,DELIVERED
SHP000130,2020-05-26, Tetratanyl  ,Antimalarial,Poznan Site, Nader-Gaylord  ,Germany,361,,2020-06-02,2020-06-01,869.72,839.1,delivered
SHP000131,2018-09-29,Cephovelam,Mood Stabilizers,Munich Plant,Koss,Germany,74,Air Charter,2018-10-06,2018-10-06,4153.95,,Delivered
SHP000132,2018-04-04,Lovavatol Azelavarix,Mood Stabilizers,FRANKFURT PLANT,Rohan,Poland,19,Truck,2018-04-11,2018-04-09,1817.12,460.8,DELIVERED
SHP000133,2018-09-25,Factolamide,Antiseptics, Warsaw Plant  ,Rogahn-Klein,Poland,36,Truck,2018-10-02,2018-09-30,3013.12,301.4,Delivered
SHP000134,2018-05-21,Bexridol,Antipiretics, krakow facility  , Welch-Langworth  ,Germany,117,Truck,2018-05-28,2018-05-27,3658.03,458.2,Delivered
SHP000135,2017-11-13, Aclonuma  ,Antimalarial,Warsaw Plant,Cassin,Poland,94,Truck,2017-11-20,2017-11-19,4600.75,896.2,Delivered
SHP000136,2019-03-08,Aggretisol,Antimalarial,KRAKOW FACILITY,Welch-Langworth,Germany,41,Ocean,2019-03-15,2019-03-13,4688.92,579.8,Delivered
SHP000137,2018-10-28,Pulmogen Alitora,Antiseptics,FRANKFURT PLANT,Daugherty-Rempel,Germany,25,Air,2018-11-04,2018-11-04,2931.06,665.2,Delivered
SHP000138,2018-12-20,Sevoderm,Antipiretics,munich plant,Schuppe Inc,Poland,91,Air,2018-12-27,2018-12-26,2499.94,487.7,IN TRANSIT
SHP000139,2018-04-21,Thionide,Analgesics, munich plant  ,Rogahn-Klein,Poland,76,Ocean,2018-04-28,2018-04-28,2169.45,620.6,shipped
SHP000140,2019-08-09,Duraprazole Agalsixolol,Antiseptics,frankfurt plant,Schuppe Inc,Poland,137,Air Charter,2019-08-16,2019-08-16,4260.73,732.7,in transit
SHP000141,2017-03-07,Atomorelin,Analgesics,WARSAW PLANT,Lockman,Germany,26,Truck,2017-03-14,2017-03-14,4036.48,298.6,pending
SHP000142,2020-11-06, Atomorelin  ,Analgesics, Warsaw Plant  , Hansen Group Pharm  ,Germany,213,Air Charter,2020-11-13,2020-11-11,1763.99,278.2,Delivered
SHP000143,2017-11-24,Pitodomide,Antimalarial,munich plant,Graham and Sons,Poland,71,Air,2017-12-01,2017-12-01,2569.86,675.7,delivered
SHP000144,2018-10-30,Adrecetam Barazoxane,Antimalarial,Poznan Site,Nader-Gaylord,Germany,57,Air,2018-11-06,2018-11-06,118.61,274.5,SHIPPED
SHP000145,2019-03-03, Ceftatana Serolamide  ,Antipiretics,Munich Plant,Kris LLC,Poland,72,Ocean,2019-03-10,2019-03-09,4794.16,,Delivered
SHP000146,2019-09-07,Lovapur,Mood Stabilizers,Krakow Facility,Crist Inc,Germany,40,Air,2019-09-14,2019-09-13,2451.48,24.6,in transit
SHP000147,2018-12-11,Abtasol,Antiseptics,munich plant,Rohan and Sons,Germany,289,Air Charter,2018-12-18,2018-12-18,1818.32,279.3,Delivered
SHP000148,2019-09-27, Belavarix Benzabicin  ,Antibiotics,frankfurt plant,Beier,Poland,24,Truck,2019-10-04,2019-10-03,N/A,327.2,Shipped
SHP000149,2017-10-27,Zonitonin,Antiseptics,Warsaw Plant, Gleason  ,Germany,138,Air,2017-11-03,2017-11-03,3240.8,368.1,CANCELLED
SHP000150,2018-02-18,Flutacerol,Analgesics,FRANKFURT PLANT,Gottlieb-Cruickshank,Poland,125,,2018-02-25,2018-02-23,2907.82,57.1,IN TRANSIT
SHP000151,2017-04-06, Adideine  ,Mood Stabilizers, krakow facility  ,Rohan and Sons,Germany,151,Air,2017-04-13,2017-04-13,1128.72,666.5,pending
SHP000152,2020-04-14,Temasone Thiobucil,Antimalarial, FRANKFURT PLANT  , Schaefer LLC  ,Germany,494,Ocean,2020-04-21,2020-04-23,2356.7,419.8,Delivered
SHP000153,2019-05-22,Relenstrel Exurabine,Antibiotics,Warsaw Plant,Stehr-Champlin,Poland,36,Air Charter,2019-05-29,2019-05-29,1490.74,584.7,Delivered
SHP000154,2019-06-21,Sumanazole,Analgesics,Munich Plant,Beier,Poland,58,Air Charter,2019-06-28,2019-06-28,2481.19,13.2,Delivered
SHP000155,2017-11-14,Abatatriptan,Antibiotics,MUNICH PLANT,Nader-Gaylord,Germany,17,Air,2017-11-21,2017-11-19,1573.5,191.0,shipped
SHP000156,2020-02-06,Theopril,Antipiretics,KRAKOW FACILITY,Schuppe Inc,Poland,35,Truck,2020-02-13,2020-02-13,1119.48,566.9,shipped
SHP000157,2017-06-23, Aquamycin Lacoran  ,Analgesics,Warsaw Plant,Schuppe Inc,Poland,152,Truck,2017-06-30,2017-06-29,1965.81,450.2,in transit
SHP000158,2019-11-26, Ceretosine  ,Antiseptics, Poznan Site  , Schaefer LLC  ,Germany,209,Air Charter,2019-12-03,2019-12-01,2360.18,351.3,Pending
SHP000159,2017-02-15,Zyvance,Analgesics,frankfurt plant, Schuppe Inc  ,Poland,21,,2017-02-22,2017-02-21,4118.07,355.2,Cancelled
SHP000160,2020-09-20, Arivac  ,Antimalarial,frankfurt plant,Daugherty-Rempel,Germany,305,Truck,2020-09-27,2020-09-25,892.69,595.0,Delivered
SHP000161,2020-06-14,Dantolac Pazocor,Analgesics, warsaw plant  , Rogahn-Klein  ,Poland,346,Air Charter,2020-06-21,2020-06-21,1836.9,605.5,DELIVERED
SHP000162,2020-12-24, Travosoline Capolac  ,Antipiretics,Poznan Site,Rohan,Poland,155,Air,2020-12-31,2020-12-31,N/A,69.4,In Transit
