Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team
Gottlieb-Cruickshank  ,"Beahan, Littel and Ondricka Pharmacy",????czyca,Poland,52.0583,19.2,Pharmacy,Institution,Abobozolid,Antimalarial,10,75,750,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Veum-Kerluke Pharmacy,Cz??uch??w,Poland,53.65,17.3667,Pharmacy,Retail,Choriogestrel,Antiseptics,10,347,3470,January,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Barton Ltd Pharma Plc,Czelad??,Poland,50.3333,19.0833,Hospital,Private,Factofribrate,Mood Stabilizers,10,99,990,January,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Doyle-Tillman Pharmaceutical Ltd,D??blin,Poland,51.5667,21.8614,Hospital,Private,Amavirase,Antipiretics,8,487,3896,January,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Schaden-Hirthe Pharmaceutical Ltd,??widnica,Poland,50.8438,16.4886,Pharmacy,Institution,Sanctumine,Antimalarial,8,149,1192,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Ondricka Ltd Pharmacy,??winouj??cie,Poland,53.9167,14.25,Hospital,Government,Epzipitant,Analgesics,1,778,778,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Raynor-Graham Pharmaceutical Limited,Gorz??w Wielkopolski,Poland,52.7333,15.25,Pharmacy,Institution,Ergomethate,Mood Stabilizers,20,604,12080,January,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Koss-Beier ,Nak??o nad Noteci??,Poland,53.1421,17.6018,Pharmacy,Retail,Epzipitant,Analgesics,20,778,15560,January,2018,Erica Jones,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Johnson, Friesen and Torphy Pharma Plc",Gryfino,Poland,53.2524,14.4883,Hospital,Government,Relenstrel Exurabine,Antibiotics,3,424,1272,January,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Koch-Osinski Pharm,Sandomierz,Poland,50.6833,21.75,Hospital,Government,Morphizolid Tianalin,Mood Stabilizers,10,742,7420,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Schaefer LLC Pharmacy,Kamie?? Pomorski,Poland,53.9697,14.7858,Hospital,Government,Acantaine,Antibiotics,100,66,6600,January,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Osinski-Collins Pharmaceutical Ltd,Elbl??g,Poland,54.1667,19.4,Pharmacy,Institution,Temasone Thiobucil,Antimalarial,4,482,1928,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Funk and Sons Pharmaceutical Limited,Tarnobrzeg,Poland,50.5833,21.6833,Pharmacy,Retail,Kiovax Tercorolac,Analgesics,5,722,3610,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Marquardt-Ryan Pharmaceutical Ltd,W??gorzewo,Poland,54.2167,21.75,Hospital,Private,Biotasol Siloderm,Antiseptics,30,373,11190,January,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Keeling LLC Pharmacy,Olsztyn,Poland,53.78,20.4942,Pharmacy,Retail,Cogxone Levanide,Antimalarial,10,686,6860,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"Romaguera, Moen and Hagenes Pharmaceutical Limited",Sopot,Poland,54.4419,18.5478,Hospital,Private,Finanel,Antimalarial,20,206,4120,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Hartmann-Wolf ,Trzebnica,Poland,51.305,17.0614,Hospital,Government,Atrabicin Alkerotec,Antiseptics,15,249,3735,January,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Schmitt LLC Pharm,Nysa,Poland,50.4738,17.3344,Pharmacy,Retail,Enzastryl,Antiseptics,4,26,104,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Mraz Group Pharmacy,Piast??w,Poland,52.1833,20.85,Hospital,Private,Palodizem,Mood Stabilizers,5,201,1005,January,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Buckridge, Dach and Carroll Pharmaceutical Limited",Lubo??,Poland,52.3333,16.8833,Hospital,Private,Lioletine Refliruvax,Analgesics,2,435,870,January,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Boyer and Sons Pharmaceutical Limited,Wa??cz,Poland,53.2667,16.4667,Hospital,Government,Testant,Mood Stabilizers,6,488,2928,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Yundt, Leuschke and Ward Pharmaceutical Ltd",??ychlin,Poland,52.2453,19.6236,Hospital,Government,Penitrana,Analgesics,10,179,1790,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Johnson, Friesen and Torphy Pharma Plc",Gryfino,Poland,53.2524,14.4883,Hospital,Government,Alemtuvatol Megalinum,Analgesics,6,682,4092,January,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Funk and Sons Pharmaceutical Limited,Tarnobrzeg,Poland,50.5833,21.6833,Pharmacy,Retail,Pentastrin,Antibiotics,3,497,1491,January,2018,Erica Jones,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Mraz Group Pharmacy,Piast??w,Poland,52.1833,20.85,Hospital,Private,Ultrimax Ultriset,Antiseptics,10,269,2690,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Rohan Inc ,Chojn??w,Poland,51.2667,15.9333,Pharmacy,Institution,Benzoprox,Antiseptics,2,284,568,January,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Wintheiser, Breitenberg and Gottlieb Pharmaceutical Limited",Milan??wek,Poland,52.1243,20.6654,Pharmacy,Retail,Alimmethate Insudase,Analgesics,10,624,6240,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Pfeffer-Hodkiewicz Pharmaceutical Ltd,Szczytno,Poland,53.5628,20.9853,Hospital,Government,Acelimus,Analgesics,4,746,2984,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Moen, Murazik and Smith ",Siedlce,Poland,52.1833,22.2833,Pharmacy,Retail,Argalazine Abostryl,Antipiretics,5,628,3140,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Jast-Cruickshank Pharma Plc,Bia??ystok,Poland,53.1167,23.1667,Pharmacy,Retail,Zithrotrol,Antiseptics,20,137,2740,January,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Hills, Stroman and Ernser Pharm",Pu??tusk,Poland,52.7025,21.0828,Hospital,Private,Lansostral Acgestin,Antiseptics,20,627,12540,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Blick, Pacocha and Schowalter ",Inowroc??aw,Poland,52.7958,18.2611,Pharmacy,Retail,Amamadin,Antimalarial,35,713,24955,January,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Schinner, Gaylord and Treutel Pharmaceutical Ltd",D??browa G??rnicza,Poland,50.3239,19.1947,Hospital,Government,Dantocept Ferurenone,Antiseptics,24,307,7368,January,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Graham and Sons Pharmacy,Warka,Poland,51.7833,21.2,Hospital,Private,Amamadin,Antimalarial,4,713,2852,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Stehr-Champlin Pharmaceutical Limited,Nowe Miasto Lubawskie,Poland,53.4167,19.5833,Hospital,Government,Acantaine,Antibiotics,60,66,3960,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Funk, Ratke and Heaney Pharmacy",Prabuty,Poland,53.7558,19.1975,Hospital,Government,Amamadin,Antimalarial,5,713,3565,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Mann-Waelchi Pharm,Piotrk??w Trybunalski,Poland,51.4,19.6833,Hospital,Private,Travosoline Capolac,Antipiretics,15,610,9150,January,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Haley PLC Pharmaceutical Limited,Opole,Poland,50.6722,17.9253,Pharmacy,Retail,Adalatamine,Antiseptics,10,794,7940,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Leuschke, Waters and Schowalter Pharmaceutical Ltd",Krapkowice,Poland,50.4751,17.9654,Pharmacy,Institution,Novakyn Tracprox,Antiseptics,4,288,1152,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Denesik-Hintz Pharm,Mi??dzyrzec Podlaski,Poland,51.9833,22.8,Pharmacy,Retail,Dorzovorin Pentadarone,Antimalarial,2,164,328,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"Rosenbaum, Klein and Herzog ",Zb??szy??,Poland,52.2531,15.9178,Hospital,Private,Androporin,Antiseptics,5,659,3295,January,2018,Erica Jones,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Trantow LLC Pharma Plc,Braniewo,Poland,54.3833,19.8333,Pharmacy,Retail,Fosinofen,Antipiretics,6,385,2310,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Hill Ltd ,Gliwice,Poland,50.2976,18.6766,Pharmacy,Retail,Morphizolid Tianalin,Mood Stabilizers,5,742,3710,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Leannon-West Pharmacy,Cieszyn,Poland,49.75,18.6333,Pharmacy,Retail,Dorzovorin Pentadarone,Antimalarial,3,164,492,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"Kub, Von and Herzog Pharmacy",Wschowa,Poland,51.8,16.3,Hospital,Private,Zonixamine Immulinum,Analgesics,10,298,2980,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Welch-Orn ,Che??mno,Poland,53.3492,18.4261,Hospital,Private,Travosoline Capolac,Antipiretics,10,610,6100,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Purdy Ltd Pharmaceutical Limited,G??ucho??azy,Poland,50.3131,17.3742,Hospital,Government,Diprotaine,Antiseptics,3,318,954,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Osinski-Collins Pharmaceutical Ltd,Elbl??g,Poland,54.1667,19.4,Pharmacy,Institution,Veratorol Ciclovatol,Mood Stabilizers,6,154,924,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Jakubowski Inc Pharmaceutical Limited,Boles??awiec,Poland,51.2667,15.5667,Pharmacy,Retail,Trazozaprine,Mood Stabilizers,30,708,21240,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Balistreri-Watsica Pharmacy,E??k,Poland,53.8167,22.35,Pharmacy,Retail,Ciclonazol,Antiseptics,4,121,484,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Barton Ltd Pharma Plc,Czelad??,Poland,50.3333,19.0833,Hospital,Private,Symdocet,Antipiretics,5,470,2350,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Mann-Waelchi Pharm,Piotrk??w Trybunalski,Poland,51.4,19.6833,Hospital,Private,Testant,Mood Stabilizers,5,488,2440,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Bashirian-Kassulke Pharma Plc,Krak??w,Poland,50.0614,19.9372,Hospital,Private,Pulmogen Alitora,Antiseptics,10,647,6470,January,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"Herman, Rice and Rippin ",Zi??bice,Poland,50.6,17.0444,Hospital,Government,Amphesirox,Antiseptics,6,25,150,January,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Kertzmann-Ward Pharma Plc,Opoczno,Poland,51.3833,20.2833,Pharmacy,Institution,Sucprine Specbalamin,Antiseptics,6,182,1092,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Streich PLC Pharmaceutical Limited,Przemy??l,Poland,49.785,22.7673,Pharmacy,Institution,Clinolan Pitoletra,Mood Stabilizers,10,130,1300,January,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Upton, Abernathy and Goodwin Pharmaceutical Ltd",Jaros??aw,Poland,50.0162,22.6778,Hospital,Government,Symbiroban,Antibiotics,10,122,1220,January,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Greenholt, Donnelly and O'Reilly Pharmaceutical Limited",Rumia,Poland,54.5667,18.4,Pharmacy,Retail,Insozyme,Antiseptics,8,655,5240,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Kilback, Beer and Batz Pharma Plc",Kutno,Poland,52.2333,19.3667,Pharmacy,Retail,Ganineva Agenium,Antiseptics,5,390,1950,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Spinka, Schowalter and Conn Pharmaceutical Limited",Bi??goraj,Poland,50.55,22.7333,Pharmacy,Institution,Propralamide Dexlanzolam,Mood Stabilizers,8,391,3128,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Kunze PLC Pharm,Dar??owo,Poland,54.4167,16.4167,Hospital,Private,Kinenadryl,Antipiretics,6,782,4692,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Lesch PLC Pharmacy,Wroc??aw,Poland,51.1077,17.0353,Hospital,Private,Lansopril Acribax,Antipiretics,6,492,2952,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Hermiston LLC ,Strzegom,Poland,51,16.3333,Pharmacy,Institution,Solasteride,Mood Stabilizers,3,520,1560,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Kozey Ltd Pharmaceutical Ltd,Bielsk Podlaski,Poland,52.7667,23.2,Hospital,Government,Malavirine Alimdine,Mood Stabilizers,6,767,4602,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Bayer LLC Pharmaceutical Ltd,Byt??w,Poland,54.1667,17.5,Hospital,Private,Adtiza Gammaluble,Antibiotics,6,452,2712,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Buckridge, Hand and Hyatt Pharma Plc",Zgorzelec,Poland,51.1528,15,Pharmacy,Institution,Abobozolid,Antimalarial,12,75,900,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Mann-Waelchi Pharm,Piotrk??w Trybunalski,Poland,51.4,19.6833,Hospital,Private,Diazemid Felcept,Analgesics,5,613,3065,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Hansen Group Pharm,Gryf??w ??l??ski,Poland,51.0308,15.4202,Hospital,Private,Xenaderal,Mood Stabilizers,20,311,6220,January,2018,Erica Jones,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Boyer and Sons Pharmaceutical Limited,Wa??cz,Poland,53.2667,16.4667,Hospital,Government,Algluconium Dorzofoxin,Antibiotics,5,611,3055,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",Grudzi??dz,Poland,53.4925,18.7761,Pharmacy,Retail,Nevanide Actozide,Antibiotics,13,773,10049,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"Rosenbaum, Klein and Herzog ",Zb??szy??,Poland,52.2531,15.9178,Hospital,Private,Morphizolid Tianalin,Mood Stabilizers,20,742,14840,January,2018,Steve Pepple,Tracy Banks,Bravo
