RecordID,SnapshotDate,ProductName,ProductClass,ManufacturingSite,BatchNumber,ExpiryDate,StorageCondition,WarehouseCountry,QuantityOnHand,ReorderLevel,StockoutFlag
INV000051,2019-12-23,Abatatriptan,Antibiotics,Munich Plant,B1912-6473,2022-10-12,Refrigerated,Germany,8468,337,No
INV000052,2017-01-19, Sumanazole  ,Analgesics,MUNICH PLANT,B1701-7933,2017-11-11,controlled substance,Germany,7487,371,FALSE
INV000053,2018-12-27,Novakyn Tracprox,Antiseptics,Poznan Site,B1812-2731,2019-11-02,Frozen,Poland,1557,338,TRUE
INV000054,2020-12-03,Abatatriptan,Antibiotics,Munich Plant,B2012-0368,2022-05-13,room temperature,Germany,7188,106,No
INV000055,2017-09-29,Albuterenone,Antimalarial, Krakow Facility  ,B1709-3603,2019-06-16,controlled substance,Poland,5461,249,No
INV000056,2017-12-14,Halciramine,Antimalarial,Frankfurt Plant,B1712-6744,2018-04-10,controlled substance,Germany,7908,63,FALSE
INV000057,2017-02-28,Benzoprox,Antiseptics,Krakow Facility,B1702-9726,2018-03-15, Frozen  ,Poland,7624,355,FALSE
INV000058,2017-01-13, Halciramine  ,Antimalarial,Frankfurt Plant,B1701-6283,2018-01-10,REFRIGERATED,Germany,5831,262,FALSE
INV000059,2020-05-15,Interfeferon Aspipex,Antiseptics, Frankfurt Plant  ,B2005-6968,2022-01-01,controlled substance,Germany,5460,387,No
INV000060,2019-10-12,Robapril,Antipiretics,Warsaw Plant,B1910-6651,2021-04-21,Refrigerated,Poland,4980,270,No
INV000061,2018-06-21, Malavirine Alimdine  ,Mood Stabilizers,Munich Plant,B1806-8051,2019-04-04, refrigerated  ,Germany,6516,72,No
INV000062,2017-01-20,Requimadin,Antimalarial,krakow facility,B1701-4138,2018-10-10,Frozen,Poland,965,83,0
INV000063,2019-01-02,Relenvice,Antimalarial,MUNICH PLANT,B1901-1856,2021-07-12,room temperature,Germany,3388,264,No
INV000064,2020-12-15,Panpion,Antiseptics, poznan site  ,B2012-1036,2022-11-04,room temperature,Poland,9678,113,No
INV000065,2017-01-05,Clinicilin Pentozone,Antimalarial,Munich Plant,B1701-5997,2019-03-28,Refrigerated,Germany,4489,306,FALSE
INV000066,2020-07-07, Zithrotrol  ,Antiseptics,Krakow Facility,B2007-7806,2021-05-13, room temperature  ,Poland,6873,297,No
INV000067,2019-09-27,Aggrakine,Antiseptics,poznan site,B1909-2537,2022-05-15,CONTROLLED SUBSTANCE,Poland,4223,104,No
INV000068,2020-11-18, Cortirodine Alimcline  ,Antipiretics,poznan site,B2011-9279,2021-05-24,FROZEN,Poland,2639,160,1
INV000069,2020-09-01,Factofribrate,Mood Stabilizers,Frankfurt Plant,B2009-2099,2021-04-01,Frozen,Germany,2821,304,No
INV000070,2017-10-07,Kinerinex,Antiseptics,poznan site,B1710-0709,2018-10-24, FROZEN  ,Poland,2944,379,FALSE
INV000071,2020-11-23, Diazemid Felcept  ,Analgesics,Warsaw Plant,B2011-5977,2021-05-08,Frozen,Poland,9113,203,No
INV000072,2020-03-27, Fentalac  ,Antipiretics,WARSAW PLANT,B2003-0251,2021-07-03,ROOM TEMPERATURE,Poland,4072,337,FALSE
INV000073,2020-05-14, Travoloride  ,Antiseptics,Munich Plant,B2005-7758,2023-05-01, REFRIGERATED  ,Germany,9194,89,No
INV000074,2020-02-10,Relenstrel Exurabine,Antibiotics, Warsaw Plant  ,B2002-4610,2022-10-19,Frozen,Poland,9366,191,No
INV000075,2018-03-10, Ribabyclor  ,Antiseptics,Warsaw Plant,B1803-2127,2018-11-06,room temperature,Poland,8475,187,No
INV000076,2019-12-16,Stelazolid,Antimalarial, Poznan Site  ,B1912-5509,2021-12-08,Frozen,Poland,6421,240,No
INV000077,2020-10-21,Halciramine,Antimalarial,frankfurt plant,B2010-9496,2023-02-26, FROZEN  ,Germany,4484,275,FALSE
INV000078,2018-12-16,Morphizolid Tianalin,Mood Stabilizers,krakow facility,B1812-5398,2020-11-10,room temperature,Poland,2524,198,No
INV000079,2017-03-15,Sucprine Specbalamin,Antiseptics,munich plant,B1703-8892,2018-04-27,room temperature,Germany,4975,101,FALSE
INV000080,2018-10-30, Amavirase  ,Antipiretics,Munich Plant,B1810-9614,2021-02-21, controlled substance  ,Germany,6424,261,No
INV000081,2019-12-27,Relenvice,Antimalarial, Munich Plant  ,B1912-8901,2021-01-25,FROZEN,Germany,7945,119,No
INV000082,2019-02-02,Albuterenone,Antimalarial, krakow facility  ,B1902-8933,2021-02-10, room temperature  ,Poland,4627,307,No
INV000083,2020-12-08,Testant,Mood Stabilizers,WARSAW PLANT,B2012-0554,2023-01-22,refrigerated,Poland,1596,97,No
INV000084,2019-04-15,Effidomide Evofribrate,Antiseptics, warsaw plant  ,B1904-7113,2021-10-22, REFRIGERATED  ,Poland,2078,105,TRUE
INV000085,2017-04-18, Adrecetam Barazoxane  ,Antimalarial,Poznan Site,B1704-0090,2017-12-11, controlled substance  ,Poland,812,382,No
INV000086,2018-09-13, Tesnorphine Silotamine  ,Antibiotics,Munich Plant,B1809-2838,2019-07-28,FROZEN,Germany,5035,155,FALSE
INV000087,2017-01-06,Ceftatana Serolamide,Antipiretics,Munich Plant,B1701-6152,2019-03-11,REFRIGERATED,Germany,3589,349,FALSE
INV000088,2020-01-25,Androporin,Antiseptics,MUNICH PLANT,B2001-8521,2022-06-23,Refrigerated,Germany,8556,269,Yes
INV000089,2017-01-30, Kiovax Tercorolac  ,Analgesics,Munich Plant,B1701-5138,2019-01-15,room temperature,Germany,6710,349,No
INV000090,2017-05-16,Panpion,Antiseptics,Poznan Site,B1705-7311,2020-03-17,room temperature,Poland,732,82,FALSE
INV000091,2020-01-24, Symbiroban  ,Antibiotics,Poznan Site,B2001-6916,2020-11-18, ROOM TEMPERATURE  ,Poland,2779,52,No
INV000092,2020-01-31, Doxivorin  ,Antimalarial, Poznan Site  ,B2001-8209,2020-05-01,Refrigerated,Poland,4064,114,No
INV000093,2018-11-14,Benzoprox,Antiseptics,Krakow Facility,B1811-2009,2019-02-23,Frozen,Poland,4267,267,FALSE
INV000094,2020-08-11,Robapril,Antipiretics,warsaw plant,B2008-4420,2020-10-27,CONTROLLED SUBSTANCE,Poland,9601,50,FALSE
INV000095,2019-11-27, Spiroderall  ,Mood Stabilizers, munich plant  ,B1911-3562,2020-12-17, Refrigerated  ,Germany,6336,153,No
INV000096,2019-10-03,Lacoplex Hyaluvance,Mood Stabilizers, munich plant  ,B1910-6101,2022-06-30,Frozen,Germany,9872,67,No
INV000097,2017-08-17, Adtiza Gammaluble  ,Antibiotics, warsaw plant  ,B1708-5679,2019-01-16,FROZEN,Poland,9449,290,No
INV000098,2020-05-23,Asparathasone Unipan,Antibiotics, Poznan Site  ,B2005-0522,2021-01-15, ROOM TEMPERATURE  ,Poland,6969,165,FALSE
INV000099,2019-07-05,Formolovir Amanferon,Analgesics, Munich Plant  ,B1907-6959,2021-09-23,REFRIGERATED,Germany,6817,306,0
INV000100,2018-01-18,Cricane Acamsumab,Antiseptics,Warsaw Plant,B1801-3740,2018-11-20, controlled substance  ,Poland,4297,98,No
INV000101,2019-05-27,Pulmogen Alitora,Antiseptics,Frankfurt Plant,B1905-1589,2019-09-13,room temperature,Germany,392,170,FALSE
INV000102,2018-05-03,Invisteride Diclomycin,Mood Stabilizers,Frankfurt Plant,B1805-1224,2020-09-25,refrigerated,Germany,474,305,FALSE
INV000103,2018-01-21,Acelimus,Analgesics,WARSAW PLANT,B1801-3614,2020-03-03,CONTROLLED SUBSTANCE,Poland,8977,342,TRUE
INV000104,2020-08-10,Halciramine,Antimalarial,FRANKFURT PLANT,B2008-6308,2022-06-13, refrigerated  ,Germany,623,150,No
INV000105,2018-05-02,Ampysin,Analgesics, KRAKOW FACILITY  ,B1805-5893,2019-10-17,room temperature,Poland,9470,246,No
INV000106,2020-11-06,Ranediol,Antibiotics,WARSAW PLANT,B2011-9363,2023-07-15,Frozen,Poland,4372,253,No
INV000107,2020-11-08,Sucprine Specbalamin,Antiseptics,munich plant,B2011-3766,2023-04-22,controlled substance,Germany,2105,94,No
INV000108,2018-06-01,Malaxolol Aeroprosyn,Antiseptics, FRANKFURT PLANT  ,B1806-1037,2020-08-23, REFRIGERATED  ,Germany,1090,87,No
INV000109,2018-05-31,Methiclotide,Antibiotics,munich plant,B1805-2865,2019-08-24,refrigerated,Germany,4998,394,No
INV000110,2020-01-17,Kinenadryl,Antipiretics, Poznan Site  ,B2001-1434,2020-03-31, Refrigerated  ,Poland,1323,157,FALSE
INV000111,2019-02-11,Palodizem,Mood Stabilizers,Krakow Facility,B1902-7945,2020-07-26,REFRIGERATED,Poland,5894,266,FALSE
INV000112,2019-12-12,Novakyn Tracprox,Antiseptics, poznan site  ,B1912-3629,2021-07-30, refrigerated  ,Poland,3295,144,FALSE
INV000113,2019-03-13,Acycnafine Microvate,Mood Stabilizers, FRANKFURT PLANT  ,B1903-3457,2019-06-01,FROZEN,Germany,1552,224,FALSE
INV000114,2020-09-02,Topipizole,Mood Stabilizers,warsaw plant,B2009-9566,2021-09-05,controlled substance,Poland,8426,62,No
INV000115,2017-11-17,Abilovir Aprotasol,Antipiretics,POZNAN SITE,B1711-0702,2020-03-21,FROZEN,Poland,9716,327,FALSE
INV000116,2018-03-15,Lacoplex Hyaluvance,Mood Stabilizers,Munich Plant,B1803-4490,2018-07-27,Frozen,Germany,3765,235,FALSE
INV000117,2017-04-05, Argalazine Abostryl  ,Antipiretics, POZNAN SITE  ,B1704-0891,2017-11-15, REFRIGERATED  ,Poland,4789,265,FALSE
INV000118,2017-09-30,Araxetine,Antibiotics, FRANKFURT PLANT  ,B1709-9909,2018-03-13,controlled substance,Germany,4426,128,No
INV000119,2020-12-17,Albudazole Erobloc,Antiseptics,FRANKFURT PLANT,B2012-2481,2023-10-06,Refrigerated,Germany,6554,380,No
INV000120,2020-04-05, Exotropin Empizine  ,Mood Stabilizers,Poznan Site,B2004-5769,2020-07-18, Refrigerated  ,Poland,1926,222,FALSE
INV000121,2019-07-28, Ibrulinum  ,Antipiretics,Poznan Site,B1907-5376,2021-01-15, room temperature  ,Poland,1279,387,0
INV000122,2019-03-18,Afinitasol,Antipiretics, Munich Plant  ,B1903-6971,2019-09-21,frozen,Germany,1024,167,FALSE
INV000123,2018-01-07,Ceretosine,Antiseptics,Poznan Site,B1801-5713,2019-04-06, controlled substance  ,Poland,2526,72,FALSE
INV000124,2017-02-13,Aclonuma,Antimalarial,Warsaw Plant,B1702-4218,2018-04-27, controlled substance  ,Poland,6335,287,FALSE
INV000125,2019-08-20, Feruprazole  ,Mood Stabilizers, Poznan Site  ,B1908-9234,2020-04-20, REFRIGERATED  ,Poland,331,154,0
INV000126,2019-03-08,Ultrimax Ultriset,Antiseptics,Krakow Facility,B1903-2142,2021-09-23, Refrigerated  ,Poland,3681,238,No
INV000127,2017-12-24,Antaparin Varizyme,Mood Stabilizers,Munich Plant,B1712-4416,2019-06-26,room temperature,Germany,3164,245,FALSE
INV000128,2020-03-27,Methiclotide,Antibiotics,Munich Plant,B2003-4760,2021-03-19,Frozen,Germany,6739,132,FALSE
INV000129,2018-09-28, Interfestar  ,Antibiotics, munich plant  ,B1809-8584,2019-06-29, controlled substance  ,Germany,2402,281,0
INV000130,2019-01-28, Afluferon Entrarenone  ,Antimalarial,Poznan Site,B1901-9198,2021-06-24,room temperature,Poland,8963,389,No
INV000131,2019-01-24,Lovapur,Mood Stabilizers,Krakow Facility,B1901-9690,2020-06-28,Refrigerated,Poland,264,191,No
INV000132,2019-11-11,Aclonuma,Antimalarial,Warsaw Plant,B1911-9389,2021-06-20,controlled substance,Poland,3295,298,No
INV000133,2020-02-02, Clindaracil  ,Analgesics,POZNAN SITE,B2002-8046,2022-10-23,Refrigerated,Poland,748,94,FALSE
INV000134,2019-06-06,Diaxolol,Antiseptics,Krakow Facility,B1906-5047,2019-10-29, REFRIGERATED  ,Poland,2132,186,No
INV000135,2020-11-15,Choriogestrel,Antiseptics,FRANKFURT PLANT,B2011-8419,2022-09-01,frozen,Germany,9302,213,No
INV000136,2018-11-04,Alimmethate Insudase,Analgesics,Krakow Facility,B1811-2981,2021-08-02,FROZEN,Poland,2271,156,FALSE
INV000137,2020-10-16,Novakyn Tracprox,Antiseptics,POZNAN SITE,B2010-3966,2021-03-21,Refrigerated,Poland,5414,151,FALSE
INV000138,2017-11-20, Ranediol  ,Antibiotics, WARSAW PLANT  ,B1711-7006,2019-03-29, FROZEN  ,Poland,9008,89,FALSE
INV000139,2020-11-10,Sucprine Specbalamin,Antiseptics,Munich Plant,B2011-0542,2023-01-15,room temperature,Germany,6464,250,No
INV000140,2020-12-10,Fentalac,Antipiretics, warsaw plant  ,B2012-0272,2021-02-24,room temperature,Poland,1818,225,No
INV000141,2018-06-21,Arivac,Antimalarial,Frankfurt Plant,B1806-4369,2019-01-30,CONTROLLED SUBSTANCE,Germany,3747,221,FALSE
INV000142,2018-01-08,Lactubucil,Antipiretics,Poznan Site,B1801-1277,2019-01-24,ROOM TEMPERATURE,Poland,879,91,No
INV000143,2018-03-08, Afluferon Entrarenone  ,Antimalarial,POZNAN SITE,B1803-0377,2021-02-11,refrigerated,Poland,2996,399,No
INV000144,2020-11-25,Cricane Acamsumab,Antiseptics,Warsaw Plant,B2011-1887,2022-05-01, Frozen  ,Poland,4393,138,No
INV000145,2019-02-19,Docstryl Rivacin,Antiseptics,frankfurt plant,B1902-2487,2021-11-12,Frozen,Germany,6524,241,FALSE
INV000146,2017-03-05, Effidomide Evofribrate  ,Antiseptics, Warsaw Plant  ,B1703-2291,2019-06-11,CONTROLLED SUBSTANCE,Poland,4587,59,No
INV000147,2018-11-25,Dexmebital Acanplan,Analgesics,POZNAN SITE,B1811-4051,2021-01-24,REFRIGERATED,Poland,9202,257,No
INV000148,2017-07-06, Decidenu Galantrigine  ,Antipiretics, Munich Plant  ,B1707-3356,2018-04-25,frozen,Germany,5343,151,FALSE
INV000149,2018-11-01,Thalilamide,Antibiotics,Warsaw Plant,B1811-1369,2019-04-01, FROZEN  ,Poland,3200,100,No
INV000150,2018-02-21, Acycpex  ,Mood Stabilizers,Warsaw Plant,B1802-0516,2018-04-26,controlled substance,Poland,708,222,No
INV000151,2019-03-02, Acelimus  ,Analgesics, warsaw plant  ,B1903-6749,2019-06-04, room temperature  ,Poland,973,333,FALSE
INV000152,2019-01-02,Lovephilus,Analgesics,poznan site,B1901-4716,2020-01-09,frozen,Poland,9573,271,No
INV000153,2020-10-02,Paronium Atracustone,Analgesics,Munich Plant,B2010-3393,2022-01-06, Refrigerated  ,Germany,3713,160,No
INV000154,2017-04-22,Lovepion,Antiseptics,krakow facility,B1704-4688,2019-02-13,frozen,Poland,5689,347,FALSE
INV000155,2019-09-14,Magneprex,Antimalarial, Krakow Facility  ,B1909-7369,2020-03-31,Refrigerated,Poland,6012,277,No
INV000156,2017-03-08,Albuterenone,Antimalarial, KRAKOW FACILITY  ,B1703-2392,2019-04-19,CONTROLLED SUBSTANCE,Poland,4492,161,No
INV000157,2017-06-21,Morphizolid Tianalin,Mood Stabilizers, Krakow Facility  ,B1706-4538,2020-06-10, controlled substance  ,Poland,2427,254,No
INV000158,2018-05-19,Neuropogen Empibax,Analgesics,FRANKFURT PLANT,B1805-2771,2018-09-01,room temperature,Germany,2258,307,FALSE
INV000159,2019-04-16,Sucprine Specbalamin,Antiseptics,munich plant,B1904-4554,2021-04-03, Frozen  ,Germany,1727,218,FALSE
INV000160,2019-11-19,Adideine,Mood Stabilizers,KRAKOW FACILITY,B1911-8072,2021-04-03,REFRIGERATED,Poland,6798,345,0
INV000161,2018-10-18,Interfedox Pilobamol,Antiseptics, FRANKFURT PLANT  ,B1810-0340,2019-08-11,Frozen,Germany,4971,235,No
INV000162,2019-09-29,Abobozolid,Antimalarial,POZNAN SITE,B1909-6237,2021-04-28,frozen,Poland,9790,184,FALSE
INV000163,2017-02-21,Theopril,Antipiretics,KRAKOW FACILITY,B1702-6466,2019-04-27,Frozen,Poland,1124,257,0
INV000164,2020-07-04, Comzyme  ,Antibiotics,warsaw plant,B2007-3434,2021-01-13,FROZEN,Poland,3735,230,Yes
INV000165,2017-09-09,Hydroxyprosyn,Antibiotics,poznan site,B1709-3508,2020-06-12,Refrigerated,Poland,7448,119,FALSE
INV000166,2018-01-21,Stelazolid,Antimalarial,Poznan Site,B1801-2568,2019-10-17,Refrigerated,Poland,7382,205,No
INV000167,2020-06-09,Cogxone Levanide,Antimalarial,poznan site,B2006-8856,2021-05-26,Frozen,Poland,6978,71,FALSE
INV000168,2020-11-12, Testant  ,Mood Stabilizers,Warsaw Plant,B2011-2562,2022-05-31,Frozen,Poland,3403,65,FALSE
INV000169,2019-02-19,Adriafinil Ehtymara,Antiseptics, FRANKFURT PLANT  ,B1902-1252,2019-11-10, controlled substance  ,Germany,583,330,No
INV000170,2019-04-15,Nevanide Actozide,Antibiotics,krakow facility,B1904-1476,2021-02-26,refrigerated,Poland,1157,276,No
INV000171,2019-04-15,Victomax,Analgesics,FRANKFURT PLANT,B1904-3483,2020-11-27,Frozen,Germany,3522,140,No
INV000172,2019-03-23,Doxivorin,Antimalarial,Poznan Site,B1903-1892,2019-06-23,room temperature,Poland,4804,301,FALSE
INV000173,2019-05-31,Xenaderal,Mood Stabilizers, Munich Plant  ,B1905-4187,2021-08-31, controlled substance  ,Germany,7469,260,No
INV000174,2018-11-21,Belavarix Benzabicin,Antibiotics, Frankfurt Plant  ,B1811-2568,2021-10-29, controlled substance  ,Germany,2229,251,No
INV000175,2018-02-13,Rebedase Aplencor,Mood Stabilizers, munich plant  ,B1802-5364,2019-04-16,Frozen,Germany,448,260,No
INV000176,2017-05-11,Ganineva Agenium,Antiseptics,Frankfurt Plant,B1705-6183,2020-05-13,CONTROLLED SUBSTANCE,Germany,3160,155,FALSE
INV000177,2018-11-08, Hydroxyprosyn  ,Antibiotics,poznan site,B1811-1248,2020-06-25, room temperature  ,Poland,2285,259,No
INV000178,2019-07-31,Claripenem,Antibiotics,warsaw plant,B1907-2801,2020-11-17,controlled substance,Poland,3543,275,0
INV000179,2020-02-09,Apronazol,Antibiotics, krakow facility  ,B2002-5826,2022-08-16,controlled substance,Poland,3612,141,No
INV000180,2018-08-31,Metapatch,Antipiretics, Krakow Facility  ,B1808-8862,2020-11-29,room temperature,Poland,2956,51,FALSE
INV000181,2019-09-27, Paronium Atracustone  ,Analgesics, MUNICH PLANT  ,B1909-5091,2022-04-30,Frozen,Germany,4085,313,No
INV000182,2017-11-26, Adideine  ,Mood Stabilizers,Krakow Facility,B1711-4684,2019-12-28, frozen  ,Poland,2296,365,FALSE
INV000183,2019-01-24,Dantocept Ferurenone,Antiseptics,Warsaw Plant,B1901-9302,2021-05-25, controlled substance  ,Poland,4763,350,No
INV000184,2017-01-06,Halcifergen Nevazone,Antimalarial,warsaw plant,B1701-6990,2017-05-04,controlled substance,Poland,3721,332,FALSE
INV000185,2019-02-06, Diazemid Felcept  ,Analgesics,WARSAW PLANT,B1902-3633,2021-04-25,room temperature,Poland,1119,194,FALSE
INV000186,2020-02-27,Sucprine Specbalamin,Antiseptics, Munich Plant  ,B2002-9445,2022-05-07, controlled substance  ,Germany,1029,78,No
INV000187,2017-09-24,Immurenol Temarate,Antipiretics,Frankfurt Plant,B1709-1628,2020-01-10,room temperature,Germany,211,150,FALSE
INV000188,2020-09-23,Effidomide Evofribrate,Antiseptics,Warsaw Plant,B2009-3684,2021-12-05,REFRIGERATED,Poland,2379,84,FALSE
INV000189,2019-11-04, Pentastrin  ,Antibiotics,frankfurt plant,B1911-9083,2022-01-29,Refrigerated,Germany,9255,222,No
INV000190,2019-11-01, Alpradipine  ,Analgesics,Munich Plant,B1911-7034,2021-03-26, Refrigerated  ,Germany,2445,285,No
INV000191,2018-10-10,Rebedase Aplencor,Mood Stabilizers,MUNICH PLANT,B1810-9782,2021-10-13,room temperature,Germany,2388,145,No
INV000192,2019-04-07,Interfedox Pilobamol,Antiseptics,frankfurt plant,B1904-8223,2021-01-31,room temperature,Germany,4433,165,FALSE
INV000193,2019-10-03, Feruprazole  ,Mood Stabilizers,poznan site,B1910-5790,2021-04-01,controlled substance,Poland,8571,131,No
INV000194,2017-09-06, Alarudin Azarolac  ,Mood Stabilizers, warsaw plant  ,B1709-5059,2020-01-09,room temperature,Poland,1607,337,FALSE
INV000195,2020-05-19,Comzyme,Antibiotics, Warsaw Plant  ,B2005-3808,2022-05-27, room temperature  ,Poland,719,87,0
